caregiver_id,role,hire_date,hourly_rate
1,RN,2021-08-13,46
2,HHA,2021-04-10,24
3,RN,2025-06-29,33
4,RN,2024-09-16,45
5,RN,2025-01-11,39
6,RN,2025-01-14,39
7,LPN,2023-02-05,28
8,HHA,2023-08-04,24
9,HHA,2025-04-26,20
10,RN,2023-09-27,37
11,HHA,2025-01-28,23
12,HHA,2024-07-17,20
13,LPN,2023-07-06,32
14,HHA,2024-09-14,20
15,HHA,2021-03-15,25
16,RN,2025-09-06,41
17,LPN,2023-08-15,29
18,HHA,2021-07-29,18
19,HHA,2021-04-10,21
20,RN,2021-04-21,38
21,HHA,2023-01-07,28
22,HHA,2025-07-22,21
23,HHA,2025-10-27,23
24,HHA,2022-06-13,26
25,HHA,2023-01-27,18
26,RN,2021-06-01,36
27,RN,2026-01-08,32
28,HHA,2025-07-31,21
29,HHA,2021-11-17,23
30,LPN,2021-05-06,27
31,LPN,2024-10-11,35
32,HHA,2025-03-04,22
33,LPN,2023-10-29,36
34,HHA,2023-05-20,27
35,HHA,2023-05-29,18
36,HHA,2024-11-27,23
37,LPN,2021-04-04,31
38,LPN,2023-11-09,38
39,LPN,2025-10-10,29
40,LPN,2025-03-07,38
